epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,1089.84,0.72641,0.84687,0.70573,0.9119,0.71156,0.79709,0.81475,0.62601,0.69126,0.77281,0.78961,0.45527,0.88057,0.9425,0.851,0.92667,0.00107056,0.00107056,0.00107056
31,1124.53,0.74096,0.86121,0.71424,0.90556,0.79304,0.78723,0.84326,0.64366,0.76799,0.76412,0.80644,0.46265,0.88923,0.98501,0.76896,0.9322,0.00106437,0.00106437,0.00106437
32,1162.94,0.72851,0.85083,0.69738,0.90561,0.75268,0.80749,0.83185,0.65775,0.72992,0.79289,0.80555,0.46244,0.80475,0.96144,0.77563,0.89742,0.00105819,0.00105819,0.00105819
33,1198.06,0.72564,0.83286,0.69535,0.90562,0.72516,0.81183,0.82541,0.63775,0.7091,0.78839,0.79811,0.45788,0.82465,0.93306,0.78197,0.90592,0.001052,0.001052,0.001052
34,1233.97,0.72802,0.82561,0.68675,0.90142,0.76718,0.81751,0.85553,0.66852,0.755,0.7945,0.8279,0.48852,0.83077,0.87441,0.69656,0.91026,0.00104581,0.00104581,0.00104581
35,1268.08,0.71734,0.81007,0.69148,0.90422,0.71317,0.8224,0.8301,0.65443,0.69135,0.77814,0.79411,0.48006,0.8139,0.96653,0.76081,0.90798,0.00103962,0.00103962,0.00103962
36,1303.53,0.72164,0.84575,0.6866,0.90259,0.68862,0.83437,0.80686,0.64359,0.6642,0.80073,0.77508,0.44864,0.82975,0.94225,0.77933,0.90974,0.00103344,0.00103344,0.00103344
37,1337.53,0.70229,0.83283,0.66636,0.90202,0.76206,0.7998,0.83246,0.65454,0.75819,0.77402,0.80965,0.47712,0.83599,0.9126,0.79313,0.9356,0.00102725,0.00102725,0.00102725
38,1371.08,0.71534,0.80679,0.65528,0.9053,0.62121,0.80165,0.75901,0.58244,0.60664,0.78308,0.72341,0.4168,0.87256,0.95579,0.94749,0.94562,0.00102106,0.00102106,0.00102106
39,1408.71,0.6926,0.82472,0.63716,0.89615,0.78045,0.7873,0.85376,0.66418,0.75736,0.76547,0.8201,0.47354,0.83881,0.93565,0.72876,0.92456,0.00101488,0.00101488,0.00101488
40,1442.75,0.71325,0.81784,0.65199,0.89928,0.75004,0.82366,0.8537,0.66968,0.73768,0.80081,0.82705,0.48568,0.82005,0.90977,0.73423,0.91259,0.00100869,0.00100869,0.00100869
41,1477.54,0.71564,0.82926,0.64627,0.8973,0.76842,0.79693,0.84791,0.67328,0.75617,0.7841,0.82032,0.48899,0.79752,0.96593,0.73917,0.90413,0.0010025,0.0010025,0.0010025
