epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
123,4381.12,0.5688,0.67978,0.41532,0.85928,0.87176,0.87827,0.91834,0.74619,0.86496,0.84067,0.88995,0.54281,0.75,0.94252,0.51306,0.89185,0.000495125,0.000495125,0.000495125
124,4418.04,0.57109,0.68446,0.42575,0.85721,0.89886,0.85804,0.91538,0.73457,0.88693,0.84166,0.89116,0.55027,0.78556,0.93773,0.52754,0.90274,0.000488938,0.000488938,0.000488938
125,4453.85,0.54535,0.65186,0.41228,0.85037,0.88724,0.8317,0.89311,0.73271,0.8751,0.81581,0.87241,0.54537,0.73938,0.90265,0.58246,0.89035,0.00048275,0.00048275,0.00048275
126,4492.24,0.57166,0.68098,0.41347,0.85921,0.87369,0.83988,0.90389,0.74099,0.87194,0.81417,0.8828,0.54997,0.74367,0.92175,0.54101,0.8886,0.000476562,0.000476562,0.000476562
127,4527.73,0.56664,0.68022,0.41648,0.85855,0.902,0.85062,0.90367,0.73622,0.88364,0.83259,0.8807,0.5479,0.7465,0.90642,0.52631,0.89853,0.000470375,0.000470375,0.000470375
128,4563.96,0.56198,0.69284,0.40623,0.85619,0.87825,0.8431,0.89401,0.7301,0.86364,0.82881,0.8794,0.554,0.74523,0.92232,0.56852,0.89808,0.000464188,0.000464188,0.000464188
129,4599.9,0.55292,0.66951,0.40815,0.85433,0.86192,0.85108,0.88272,0.71574,0.85254,0.8405,0.86916,0.54071,0.77439,0.99785,0.56791,0.9054,0.000458,0.000458,0.000458
130,4635.51,0.56189,0.66435,0.40455,0.85364,0.8888,0.84354,0.89947,0.73642,0.85837,0.82685,0.87176,0.5466,0.7326,0.96876,0.51949,0.89192,0.000451813,0.000451813,0.000451813
131,4672.73,0.54926,0.6769,0.40121,0.8498,0.87847,0.8554,0.89822,0.73114,0.84917,0.83827,0.87308,0.54033,0.77278,0.99311,0.54044,0.91615,0.000445625,0.000445625,0.000445625
132,4708.06,0.54304,0.67037,0.40319,0.85046,0.89202,0.84797,0.9066,0.73295,0.86905,0.8265,0.87494,0.55033,0.74474,0.91332,0.53023,0.89709,0.000439437,0.000439437,0.000439437
133,4746.79,0.56437,0.68497,0.40521,0.85305,0.86927,0.83659,0.87839,0.71173,0.84975,0.82068,0.85935,0.52458,0.78421,0.99494,0.5936,0.90811,0.00043325,0.00043325,0.00043325
134,4782.18,0.55123,0.67053,0.39871,0.85204,0.86066,0.85481,0.89998,0.72938,0.86006,0.8203,0.87531,0.54089,0.7383,0.93356,0.53889,0.89763,0.000427062,0.000427062,0.000427062
135,4817.92,0.55155,0.66583,0.40564,0.85068,0.87836,0.86092,0.90562,0.73582,0.87398,0.83747,0.88582,0.5536,0.75035,0.892,0.54711,0.89422,0.000420875,0.000420875,0.000420875
136,4853.16,0.54742,0.63809,0.4014,0.8549,0.88429,0.85423,0.89944,0.73978,0.87246,0.83409,0.87502,0.54789,0.72653,0.91937,0.53826,0.88527,0.000414688,0.000414688,0.000414688
137,4887.63,0.53921,0.65796,0.38729,0.85174,0.87346,0.83623,0.89354,0.72695,0.85655,0.81953,0.87464,0.55001,0.74184,0.90378,0.5952,0.90043,0.0004085,0.0004085,0.0004085
138,4924.23,0.55289,0.68167,0.39828,0.85498,0.86911,0.86721,0.89973,0.72459,0.84426,0.84117,0.86733,0.53593,0.75923,1.00885,0.54839,0.9046,0.000402312,0.000402312,0.000402312
139,4959.17,0.54014,0.65252,0.396,0.85151,0.8808,0.84967,0.89596,0.72984,0.86134,0.82777,0.87216,0.54819,0.75151,0.95391,0.56673,0.89928,0.000396125,0.000396125,0.000396125
140,4997.71,0.53578,0.64936,0.38769,0.85063,0.9015,0.84146,0.90494,0.73457,0.88159,0.81616,0.87637,0.54735,0.75615,0.89621,0.54406,0.90651,0.000389938,0.000389938,0.000389938
141,5032.88,0.52167,0.64173,0.38545,0.84325,0.88353,0.8396,0.89625,0.73342,0.87306,0.82245,0.87725,0.54795,0.75258,0.98395,0.55382,0.90047,0.00038375,0.00038375,0.00038375
142,5070.1,0.53872,0.67275,0.37995,0.84695,0.87628,0.85258,0.90152,0.73953,0.86025,0.83582,0.88008,0.55436,0.74698,0.94466,0.54685,0.90972,0.000377563,0.000377563,0.000377563
143,5105.19,0.53828,0.66562,0.38958,0.84922,0.90383,0.838,0.90042,0.7367,0.88518,0.8114,0.87599,0.55659,0.74929,0.95668,0.5383,0.8941,0.000371375,0.000371375,0.000371375
144,5141.7,0.53434,0.64579,0.38677,0.84711,0.89513,0.84724,0.90295,0.74271,0.85694,0.84535,0.88216,0.56223,0.74724,0.92165,0.53091,0.89711,0.000365188,0.000365188,0.000365188
